model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
MT16VDDT3264AG-403B2,DIMM,Unbuffered,non-ECC,256 MByte,"2Rx8, 16 ICs",128 Mbit,,,,,Micron,Micron,Micron MT46V16M8-5TESB,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
MT16VDDT3264AG-403B2,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Micron,Micron,Micron MT46V32M8TG-5BC,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
MT16VDDT6464AG-40BC4,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Micron,Micron,Micron MT46V32M8TG-5BC,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
MT4VDDT1664AG-335C3,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC2700,,,Micron,Micron,Micron MT46V16M16TG-6T,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT8VDDT3264AG-335C4,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,CL4,,Micron,Micron,Micron MT46V32M8TG-6T C,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT16VDDT6464AG-335C4,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,CL4,,Micron,Micron,Micron MT46V32M8TG-6T,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT16VDDT12864AG-335DB,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC2700,,,Micron,Micron,Micron MT46V64M8TG-6T,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT8VDDT3264AG-40BC4,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Micron,Micron,Micron MT46V32M8TG-5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT16VDDT6464AG-40BC4,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3200,,,Micron,Micron,Micron MT46V32M8TG-5B C,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
MT16VDDT12864AG-40BDB,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC3200,,,Micron,Micron,Micron MT46V64M8TG-5B D,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
