model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533 LA F2-4200PHU2-1GBLA F2-4200PHU2-2GBLA,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-533,4.0-4-4-12,,"Samsung, Elpida",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 LA F2-5400PHU2-1GBLA F2-5400PHU2-2GBLA,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-667,4.0-4-4-12,,"Samsung, Elpida",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 NT F2-5400PHU2-1GBNT F2-5400PHU2-2GBNT,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,5.0-5-5-15,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 ZX F2-5400PHU2-1GBZX F2-5400PHU2-2GBZX,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-667,4.0-4-4-12,,"Micron, Elpida (before 05/2006)",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 GA F2-5400CL3D-1GBGA F2-5400CL3D-2GBGA,DIMM,Unbuffered,non-ECC,,,,2.2V,DDR2-667,3.0-4-3-8,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 GA F2-6400CL3D-1GBGA F2-6400CL3D-2GBGA,DIMM,Unbuffered,non-ECC,,,,2.4V,DDR2-800,3.0-4-3-8,,Micron,,Micron D9GKX (B6-25E),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 NQ F2-6400PHU2-1GBNQ F2-6400PHU2-2GBNQ,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-5-5-15,,"Micron, Powerchip, ProMOS, Samsung, Elpida",,Micron D9GMH (B6-3) (very rare!),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 NQ (4x1GB) F2-6400CL5D-4GBNQ,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-800,5.0-5-5-15,,Powerchip,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 NR F2-6400PHU2-1GBNR F2-6400PHU2-2GBNR,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-5-5-15,,"Powerchip, Elpida",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 PK F2-6400CL4D-1GBPK F2-6400CL4D-2GBPK,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-800,4.0-4-4-12,,"Powerchip, ProMOS, Elpida",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 PQ (2x2GB) F2-6400CL5D-4GBPQ,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-5-5-15,,"Micron, Powerchip",,"Powerchip, Micron D9HNL (HQ-3)",N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 HK F2-6400CL4D-1GBHK F2-6400CL4D-2GBHK,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,4.0-4-3-5,,"ProMOS, Qimonda",,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 HZ F2-6400PHU2-1GBHZ F2-6400PHU2-2GBHZ,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,4.0-4-4-12,,"Micron, Powerchip, Elpida",,"Powerchip & singlesided  Micron D9GMH (B6-3), Micron D9GCT (B6-37E) (some), Elpida  AG-6E-E (before 05/2006)",N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 JS F2-6400CL4D-1GBJS F2-6400CL4D-2GBJS,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,4.0-4-4-12,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 ZX F2-6400PHU2-1GBZX F2-6400PHU2-2GBZX,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,4.0-4-4-12,,Elpida,,Elpida,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1000 ZX F2-8000PHU2-1GBZX F2-8000PHU2-2GBZX,DIMM,Unbuffered,non-ECC,,,,2.3V,DDR2-1000,5.0-5-5-15,,Micron,,"Micron D9GMH (B6-3), Micron D9GKX (B6-25E)",N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1000 HZ F2-8000PHU2-1GBHZ F2-8000PHU2-2GBHZ,DIMM,Unbuffered,non-ECC,,,,2.4V,DDR2-1000,4.0-4-4-5,,Micron,,"Micron D9GKX (B6-25E), Micron D9GMH (B6-3), Micron D9GCT (B6-37E) (some)",N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1000 PQ (2x2GB) F2-8000CL5D-4GBPQ,DIMM,Unbuffered,non-ECC,,,,,DDR2-1000,5.0-5-5-15,,Powerchip,,Powerchip,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1066 HK F2-8500CL5D-1GBHK F2-8500CL5D-2GBHK,DIMM,Unbuffered,non-ECC,,,,2.4V,DDR2-1066,5.0-5-5-15,,Micron,,"Micron D9GMH (B6-3), Micron D9GKX (B6-25E)",N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1066 HZ F2-8500PHU2-1GBHZ F2-8500PHU2-2GBHZ,DIMM,Unbuffered,non-ECC,,,,2.4V,DDR2-1066,4.0-4-4-5,,Micron,,Micron D9GKX (B6-25E),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
