model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC2-4200XBL PDC21G5600+XBLK / PDC22G5600+XBLK,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-533,3.0-2-2-4,,Micron,,Micron D9DQW (BT-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-5300 Signature PSD21G667KH / PSD22G667KH,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,5.0-X-X-X,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-5300LL PDC21G5300+LLK / PDC22G5300+LLK,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,4.0-4-4-12,,Elpida,,Elpida 2B-3A-EL,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-5600XBL PDC21G5600+XBLK / PDC22G5600+XBLK,DIMM,Unbuffered,non-ECC,,,,2.0V ~ 2.1V,DDR2-700,4.0-3-3-12,,Micron,,Micron D9DQW (BT-37E) (some),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-6400 Signature PSD21G800KH / PSD22G800KH,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-800,5.0-X-X-X,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-6400LL PDC21G6400+LLK / PDC22G6400+LLK,DIMM,Unbuffered,non-ECC,,,,2.2V,DDR2-800,4.0-4-4-12,,"Micron, Elpida",,"Elpida AG-6E-E, Micron D9GMH (B6-3), Micron D9DQW (BT-37E), Micron D9DQT (BT-3)",N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-8000EL PDC21G8000+ELK / PDC22G8000+ELK,DIMM,Unbuffered,non-ECC,,,,2.1V,DDR2-1000,5.0-5-5-12,,Elpida,,Elpida 2B-25A-EL,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-8000LL PDC21G8000+LLK / PDC22G8000+LLK,DIMM,Unbuffered,non-ECC,,,,2.1V ~ 2.3V,DDR2-1000,5.0-5-5-15,,Micron,,Micron D9DQT (BT-3),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-8000XBL PDC21G8000+XBLK / PDC22G8000+XBLK,DIMM,Unbuffered,non-ECC,,,,2.2V,DDR2-1000,4.0-4-4-12,,Micron,,Micron D9GKX (B6-25E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-9200EL PDC21G9200+ELK / PDC22G9200+ELK,DIMM,Unbuffered,non-ECC,,,,2.3V,DDR2-1150,5.0-5-5-15,,Micron,,"Micron D9GMH (B6-3), Micron D9GKX (B6-25E)",N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
