model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533 Elite TEDD1024M533HC4DC / TEDD2048M533HC4DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-533,4.0-4-4-12,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Elite CAS 4 TEDD1024M667HC4DC / TEDD2048M667HC4DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,4.0-4-4-12,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Elite CAS 5 TEDD1024M667HC5DC / TEDD2048M667HC5DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,5.0-5-5-15,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Elite TEDD1024M800HC5DC / TEDD2048M800HC5DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-800,5.0-5-5-15,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Value RAM TVDD1024M667C4DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-667,5.0-5-5-12,,Micron,,Micron D9DCN (CB-37E),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Value RAM TVDD1024M800C4DC,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-800,5.0-5-5-15,,ProMOS,,,N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Xtreem TXDD1024M667HC3DC / TXDD2048M667HC3DC,DIMM,Unbuffered,non-ECC,,,,1.95V ~ 2.3V,DDR2-667,3.0-3-3-8,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Xtreem TXDD1024M667HC4DC / TXDD2048M667HC4DC,DIMM,Unbuffered,non-ECC,,,,1.8V ~ 1.9V,DDR2-667,4.0-4-4-12,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Xtreem Dark TXDD1024M667HC3DC-D / TXDD2048M667HC3DC-D,DIMM,Unbuffered,non-ECC,,,,2.0V ~ 2.2V,DDR2-667,3.0-4-4-8,,ProMOS,,,N/A,,8-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Xtreem Dark TXDD1024M800HC4DC-D / TXDD2048M800HC4DC-D,DIMM,Unbuffered,non-ECC,,,,2.0V ~ 2.2V,DDR2-800,4.0-4-4-12,,ProMOS,,,N/A,,8-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Xtreem CAS 3 TXDD1024M800HC3DC / TXDD2048M800HC3DC,DIMM,Unbuffered,non-ECC,,,,2.2V ~ 2.35V,DDR2-800,3.0-3-3-8,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Xtreem TXDD1024M800HC4DC / TXDD2048M800HC4DC,DIMM,Unbuffered,non-ECC,,,,1.95V ~ 2.3V,DDR2-800,4.0-4-4-12,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1000 Xtreem TXDD1024M1000HC5DC / TXDD2048M1000HC5DC,DIMM,Unbuffered,non-ECC,,,,2.1V ~ 2.3V,DDR2-1000,5.0-5-5-15,,Micron,,Micron D9GMH (B6-3),N/A,,6-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1200 Xtreem TXDD1024M1200HC5DC / TXDD2048M1200HC5DC,DIMM,Unbuffered,non-ECC,,,,2.35V ~ 2.45V,DDR2-1200,5.0-5-5-15,,Micron,,Micron D9GKX (B6-25E),N/A,,8-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
PC2-10400 Xtreem TXDD1024M1300HC6DC / TXDD2048M1300HC6DC,DIMM,Unbuffered,non-ECC,,,,2.35V ~ 2.45V,PC2-10400,6.0-6-6-18,,Micron,,"Micron D9GMH (B6-3), Micron D9GKX (B6-25E)",N/A,,8-layer PCB,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
