model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3-10666 CT102464BA1339.M16FDD (8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,PC3-10666,9-X-X-X,,Micron,,Micron D9PCP (RA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT12864BA1339.8SFB (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-9-9-24,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT25664BA1339.16SFD (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT25664BA1339.8FD (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-X-X-X,,Micron,,Micron D9LGK (HX-15E 2Gbit),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT2KIT51264BA1339,DIMM,Unbuffered,non-ECC,,,,1.5V,PC3-10666,9-X-X-X,,Micron,,Micron D9KLV (JE-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT3KIT12864BA1339 (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-X-X-X,,Micron,,Micron D9JNM,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT3KIT12864BA1339.8SFD (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-9-9-24,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 CT51264BA1339 (4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,PC3-10666,9-X-X-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 CT102464BD160B.M16FED (8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.35V,PC3-12800,11-X-X-X,,Micron,,Micron D9QBJ (RH-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 CT2KIT51264BD160B (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,PC3-12800,11-X-X-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Ballistix BL25664BN1608.16FF (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Ballistix (finned heatspreader) BL25664FN1608.16FF (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Ballistix Tactical BLT2KIT4G3D1869DT1TX0 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,PC3-12800,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Ballistix Tracer Green BL25664TG1608.K16SF (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Smart Ballistix Tracer BL25664ST1608OB.16FF (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14900 Ballistix Tactical Tracer BLT4G3D1869DT2TXOB.16FKD (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,PC3-14900,9-9-9-27,,Micron,,Micron D9QMS (DA-15E:K),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 BL2KIT12864BE2009 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-16000,9-9-9-28,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 Ballistix (finned heatspreader)BL51264FN2001 (1x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-16000,9-11-9-X,,Hynix/SK hynix,,Hynix/SK hynix H5TQ2G83BFR H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17000 Ballistix (finned heatspreader) BL25664FN2139 (1x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17000,9-10-9-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17000 Ballistix Elite BLE2KIT4G3D213ACE1TX0 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-17000,9-11-10-27,,Samsung,,Samsung K4B2G0846D HCH9,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
