model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3-10666KTW149-ELF (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BFBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666KVR1333D3E9S/1G (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666KVR1333D3N9/2G (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666KVR1333D3N9/4G (4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BCSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666KVR1333D3N9K3/6G (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 Value Low ProfileKVR1333D3N9K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BFSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 Value Low ProfileKVR1333D3N9K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Powerchip,,Powerchip RHE437A3G-P,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 Value Low-ProfileKVR1333D3E9SK2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BFBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 ValueRAM KVR1333D3N9/1G (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,PC3-10666,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-11000 HyperX KHX11000D3LLK2/1G (2x512MB),DIMM,Unbuffered,non-ECC,,,,1.7,PC3-11000,7-7-7-20,,Elpida,,Elpida BASE-AE-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-11000 HyperX KHX11000D3LLK2/2G (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.7,PC3-11000,7-7-7-20,,Elpida,,Elpida BASE-AE-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX KHX1600C9D3K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,9-9-9-27,,Elpida,,Elpida BDBG,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX KHX1600C9D3K3/12GX (3x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-12800,9-9-9-27,,Hynix/SK hynix,,Hynix/SK hynix H5TQ2G83AFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX Beast KHX16C9T3K2/16X (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,PC3-12800,9-9-9-27,,Nanya,,Nanya NT5CC512M8BN-DI,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX BlackKHX16C10B1BK2/16 (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,PC3-12800,10-10-10-27,,Nanya,,Nanya NT5CC512M8BN-DI,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX BluKHX1600C9AD3B1K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,9-9-9-27,,Elpida,,Elpida BFSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX Blu RedKHX1600C9D3B1RK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-12800,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX LoVoKHX1600C9D3LK2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.35V,PC3-12800,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX LoVoKHX1600C9D3LK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,PC3-12800,9-9-9-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 HyperX LoVoKHX1600C9D3LK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,PC3-12800,9-9-9-X,,Hynix/SK hynix,,Hynix/SK hynix H5TC2G83CFR-H9A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 ValueRAM KVR16N11/4 (1x4GB),DIMM,Unbuffered,non-ECC,,,,1.5V,PC3-12800,11-11-11-XX,,Hynix/SK hynix,,Hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 ValueRAM ECCKVR16E11K4/16I (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,PC3-12800,11-11-11-28,,Elpida,,Elpida J2108EDBG-GN-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14400 HyperX KHX14400D3/1G,DIMM,Unbuffered,non-ECC,,,,1.9V,PC3-14400,8-8-8-24,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14400 HyperX KHX14400D3K2/2G (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-14400,8-8-8-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14400 HyperX Intel XMP CertifiedKHX14400D3K2/2GX (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-14400,8-8-8-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14400 HyperX Nvidia SLi CertifiedKHX14400D3K2/2GN (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-14400,8-8-8-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14900 HyperX Genesis KHX1866C9D3/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-14900,9-11-9-27,,Hynix/SK hynix,,Hynix/SK hynix H5TQ2G83CFR-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14900 HyperX LoVoKHX1866C9D3LK2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.35V,PC3-14900,9-9-9-27,,Elpida,,Elpida MGH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 HyperX KHX16000D3ULT1K3/6GX (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,8-8-8-24,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 HyperX KHX2000C9AD3T1K2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,9-11-9-27,,Elpida,,Elpida BDBG,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 HyperX (finned heatspreader) KHX16000D3ULT1K3/3GX (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65V,PC3-16000,8-8-8-24,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 HyperX (finned heatspreader) KHX16000D3ULT1K3/6GX (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,8-8-8-24,,Elpida,,"Elpida MGH-E Hyper, Elpida MNH-E Hyper",N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
"PC3-16000 HyperX (finned heatspreader), KHX2000C9AD3T1K3/3GX (3x1GB), KHX2000C9AD3T1K3/6GX (3x2GB), KHX2000C9AD3T1FK3/6GX (3x2GB)",DIMM,Unbuffered,non-ECC,1 GiB,,,1.65V,PC3-16000,9-10-9-27,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 HyperX (finned heatspreader) KHX2000C9D3T1K3/6GX (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,9-9-9-27,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17060 HyperX (finned heatspreader) KHX2133C8D3T1K2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17060,8-8-8-24,,Elpida,,Elpida MGH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17060 HyperX (finned heatspreader) KHX2133C9D3T1K2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17060,9-9-9-27,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17060 HyperX (finned heatspreader) KHX21C11T1K2/16X (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.6V,PC3-17060,11-12-11-30,,Hynix/SK hynix,,Hynix/SK hynix H5TC4G83MFR-H9A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17060 HyperX Grey Series KHX2133C9AD3X2K2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17060,9-11-9-27,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17060 HyperX H2OKHX2133C9AD3W1K2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17060,9-11-9-30,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17066 Hyper-X T1KHX2133C11D3T1K2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.6V,PC3-17066,11-12-11-XX,,Hynix/SK hynix,,Hynix/SK hynix CFR H9A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
