model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3-10666 Platinum OCZ3P1333LVA6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-10666,7-7-7-24,,"Micron, Elpida",,Micron D9KPT (JP-15E)Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 Platinum Low-Voltage OCZ3P1333LV3GK (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65V,PC3-10666,7-7-7-20,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10666 Reaper HPC OCZ3RPR13334GK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.7,PC3-10666,6-6-6-20,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 OCZ3P1600EB1G (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-12800,7-6-6-20,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 OCZ3P1600EB2GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-12800,7-6-6-20,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Flex II OCZ3FXT1600LV4GK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Flex XLC OCZ3FX16002GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,2.1,PC3-12800,6-6-6-18,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Platinum OCZ3P16002GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.95V,PC3-12800,7-7-7-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Platinum OCZ3P16002GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-12800,7-7-7-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Platinum EB OCZ3P1600EB2GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.95V,PC3-12800,7-6-6-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Platinum EB OCZ3P1600EB2GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.95V,PC3-12800,7-7-6-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Reaper HPC OCZ3RPR1600C6LV4GK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,6-8-6-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 Signature Series OCZ3SR1600LV4GK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-12800,8-8-8-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-12800 XMP Edition OCZ3X1600LV3GK (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65V,PC3-12800,8-8-8-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-14400 NVIDIA SLI-Ready Edition OCZ3N1800SR2GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-14400,8-8-8-27,,Micron,,Micron D9GTS (BY-15E)Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-15000 Reaper Low Voltage OCZ3RPR1866LV6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-15000,8-8-8-28,,"Micron, Elpida",,Elpida MNH-E HyperMicron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 Blade OCZ3B2000C9LV6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,9-9-9-30,,"Micron, Elpida",,Elpida BBSE-DJ-FMicron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 Blade Series Triple Channel OCZ3B2000LV6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-16000,7-8-7-20,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 Flex II XLC OCZ3FXT20002GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,PC3-16000,8-8-8-28,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-16000 NVIDIA SLI-Ready Edition OCZ3N2000SR2GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.85V,PC3-16000,9-9-9-30,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17000 Blade OCZ3B2133C9LV6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17000,9-9-9-31,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17000 Flex EX XLC OCZ3FXE2133LV12GK (3x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-17000,10-10-10-30,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17000 Flex EX XLC OCZ3FXE2133LV8GK (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65V,PC3-17000,10-10-10-30,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-17066 Blade OCZ3B2133LV6GK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65V,PC3-17066,8-9-8-24,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-8500 Gold Edition OCZ3G10662GK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.6V,PC3-8500,7-7-7-21,,"Micron, Unknown if labeled as Syncmax",Syncmax (if labeled as such),"Syncmax X43A12084OH-13A, Micron D9GTN (BY-25)",N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
