model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
D4SS56161SH21A-C,SODIMM,Unbuffered,non-ECC,2 GiByte,"1Rx16, 4 ICs",4 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS56161SH24A-C,SODIMM,Unbuffered,non-ECC,2 GiByte,"1Rx16, 4 ICs",4 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS56161SH26A-C,SODIMM,Unbuffered,non-ECC,2 GiByte,"1Rx16, 4 ICs",4 GiBit,1.2v,DDR4-2666,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH12081SH21A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.2v,DDR4-2133,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12161SH21A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx16, 4 ICs",8 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12081SH21A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12161SH24A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx16, 4 ICs",8 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12081SH24A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12161SH26A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx16, 4 ICs",8 GiBit,1.2v,DDR4-2666,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12081SH26A-C,SODIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.2v,DDR4-2666,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH12082SH21A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"2Rx8, 16 ICs",4 GiBit,1.2v,DDR4-2133,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12082SH21A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"2Rx8, 16 ICs",4 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS12082SH24A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"2Rx8, 16 ICs",4 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G081SH21A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2133,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G081SH21A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G081SH24A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2400,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G081SH24A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G081SH26A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2666,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G081SH26A-C,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-2666,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G081SH32A-E,SODIMM,Unbuffered,non-ECC,8 GiByte,"1Rx8, 8 ICs",8 GiBit,1.2v,DDR4-3200,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G082SH21A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2133,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G082SH21A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2133,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G082SH24A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2400,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G082SH24A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2400,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SH1G082SH26A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2666,,,,SK hynix,SK hynix,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G082SH26A-C,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-2666,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
D4SS1G082SH32A-E,SODIMM,Unbuffered,non-ECC,16 GiByte,"2Rx8, 16 ICs",8 GiBit,1.2v,DDR4-3200,,,,Samsung,Samsung,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr4-sdram/
