model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
TL8G48819D-E6PRSWK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4800,19-27-27-46,,SK hynix,SK hynix,D-die,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G44819D-E6PRSWK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4400,19-26-26-46,,SK hynix,SK hynix,D-die,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-I2PRAAK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-I2PRGPK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-I2PRGYK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-I2PRSWK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-I2PRASFK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E0P2AAK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E0P2GRK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E0P2GBK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E0P2SOK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E0P2SFK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRAAK,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRAAS,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRNBS,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRNFS,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRNWS,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G41819D-E6PRNPS,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35V,DDR4-4133,19-24-24-44,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL1641819A-E6PRSWK,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.40V,DDR4-4133,19-26-26-46,,SK hynix,SK hynix,A-die,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G40819X-E6PRSWSN,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4000,19-24-24-44,,Nanya,Nanya,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL8G40819X-E6PRSWKN,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4000,19-24-24-44,,Nanya,Nanya,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL48G36S8BNRGB18,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,18-19-19-39,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRAAK,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRAAS,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRNRS,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRNWS,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRNYS,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL16G36818A-E6PRNBS,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35V,DDR4-3600,18-22-22-42,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL48G30S816B,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3000,CL16,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TL48G30S816RGB,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3000,16-18-18-38,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
TC48G24S817,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2400,CL17,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
