model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
77.10703.53A,DIMM,Unbuffered,non-ECC,512 MByte,2Rx8,256 Mbit,2.5v,PC2100,CL2,TSOP-66,PSC/Powerchip,PSC/Powerchip,A2S56D30ATP,N/A,Atmel,Unknown (marked as Apacer 48.14118.09A),"Old PSC logo, serial number 1104092-10004",CrazyblocksTech
77.10636.465,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Samsung,,K4H560838D-TCC4,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf
77.10736.464,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Samsung,,K4H560838D-TCC4,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf
77.11128.6G,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,,,,Samsung,,K4H510838B-TCB3,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf
77.10728.460,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Samsung,,K4H510838B-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf
73.85397.460,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Samsung,,K4H560838D-TCC4,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf
77.10636.55G,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,hynix,,HY5DU56822BT-D43,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf
77.10636.56G,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Mosel Vitelic (possibly ProMOS),,V58C2256804SAT5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf
77.10636.11G,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Infineon,,HYB25D256800BT-5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf
,DIMM,Unbuffered,non-ECC,,,,,PC2700,,,Winbond,,AH-6 or BH-6,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533
,DIMM,Unbuffered,non-ECC,,,,,PC4000,,,Samsung,,TCCD,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533
