model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
CMX512-3200XLPT XMS3208v1.2,DIMM,Unbuffered,non-ECC,512 MByte,2Rx8,256 Mbit,2.5v,PC3200,2-2-2-5-?,TSOP-66,Samsung,Samsung,K4H560838F-TCCD,N/A,,Unknown (Marked with CORSAIR),Heatsink covering ICs on both sides,CrazyblocksTechnologies Computer Laboratories
CMX512-3500C2 XMS3502v1.1,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond BH-5,N/A,,,"Have heatsinks, Asus did not cover IC",http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]+http://www.xtremesystems.org/forums/showthread.php?38489-Which-chip-is-this-one ICs used
CMX256-3500C2 XMS3502v1.1,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond BH-5,N/A,,,"Have heatsinks, Asus did not cover IC",http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]+http://www.xtremesystems.org/forums/showthread.php?38489-Which-chip-is-this-one ICs used
CMX256A-3500C2PT,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond? (presumed),N/A,,,"Have heatsinks, Asus did not cover IC",http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]+http://www.xtremesystems.org/forums/showthread.php?38489-Which-chip-is-this-one ICs used
CMX256A-2700C2 XMS2700V1.1,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Winbond,,Winbond BH-6,N/A,,,"Have heatsinks, MSI did not cover IC",https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]+https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ ramlist.i4memory.com (archive.org)
CMX256A-3500C2PT XMS3502 V1.1,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond BH-6,N/A,,,"Have heatsinks, MSI did not cover IC. MSI had module incorrectly marked as PC3200.",https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]+https://www.overclockers.com/forums/showthread.php/248894-Corsair-CMX256A-3500C2PT-v1-1-what-timing-should-i-use overclockers.com (IC)
CMX256A-3200LL XMS3205 V1.2,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,CL2,,Winbond,,Winbond CH-6,N/A,,,"Have heatsinks, MSI did not cover IC.",https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]+https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ ramlist.i4memory.com (archive.org)
CMX512-3500C2PT XMS3502 V1.1,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond BH-6,N/A,,,"Have heatsinks, MSI did not cover IC. MSI had module incorrectly marked as PC3200.",https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]+https://www.overclockers.com/forums/showthread.php/248894-Corsair-CMX256A-3500C2PT-v1-1-what-timing-should-i-use overclockers.com (IC)
XMS-PC2700C2 Rev1.1,DIMM,Unbuffered,non-ECC,,,,,PC2700,2-3-3-6-1T,,Winbond or Samsung,,maybe Winbond BH-6/Samsung TCB3,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
XMS-PC2700C2 Rev1.2,DIMM,Unbuffered,non-ECC,,,,,PC2700,2-3-3-6-1T,,Winbond,,Winbond CH-6,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
