model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
BG111DR.7G,DIMM,Unbuffered,non-ECC,512 MiByte,"2Rx8, 16 ICs",256 Mibit,,PC2700,,,Micron,,Micron MT46V32M8TG-6T,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
BQ1118L.FT,DIMM,Unbuffered,non-ECC,256 MiByte,"1Rx8, 8 ICs",256 Mibit,,PC3200,,,Micron,,Micron MT46V32M8TG-5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
BG111DB.FB,DIMM,Unbuffered,ECC,512 MiByte,"2Rx8, 18 ICs",256 Mibit,,PC3200,,,Micron,,Micron MT46V32M8TG-5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Micron,,"may or may not contain Micron 46V32M8 -5B C, 46V32M8 -5B G",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ballistix PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-8,,Micron,,Micron 46V32M8 -5B G (maybe relabeled),N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ballistix Tracer PC4000 BL6464L505-512MB,DIMM,Unbuffered,non-ECC,512 MiByte,"1Rx8, 8 ICs",512 Mibit,,PC4000,2.5-4-4-8,,Micron,,Micron 46V32M8 -5B G (maybe relabeled),N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
PC3200 Value CT3264Z40B-256MB,DIMM,Unbuffered,non-ECC,256 MiByte,"1Rx8, 8 ICs",256 Mibit,,PC3200,,,Samsung,,Samsung TCC4,N/A,,,May be 1Rx16 if still using 512MB chips,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
PC3200 Value CT12864Z40B-1GB,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Micron,,Micron -5B D or Micron -5B F,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ballistix PC4000 BL3264Z505-256MB,DIMM,Unbuffered,non-ECC,,,,,PC4000,CL2.5-4-4-8-1T,,Micron,,Micron -5B D or Micron -5B G,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ballistix Tracer PC4000 BL2KIT12864L503-1GBx2,DIMM,Unbuffered,non-ECC,,,,,PC4000,CL3-4-4-8-1T,,Micron,,Micron -5B D,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
CT12872Y335.K18FY BL111D7.5Y,DIMM,Registered,ECC,1 GiByte,"2Rx8, 16 ICs",512 Mibit,,,,,Samsung,Samsung,K4H50438C-ZCCC,"IDT, Texas Instruments",,,.K code at the end of the part number is likely for Samsung,Krazycrafter#5548
