model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3500,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Winbond,,Winbond BH-5?,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF] and http://www.xtremesystems.org/forums/archive/index.php?t-3149.html xtremesystems archive on the module
Value PC3200 Blue,DIMM,Unbuffered,non-ECC,,,,,PC3200,3.0-3-3-6,,Infineon or hynix,,"Infineon 5ns, hynix D5, D43",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Golden Dragon PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-3-6-1T,WLCSP,Samsung,,,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ultra Platinum PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-3-6-1T,,Winbond or Mosel Vitelic,,"Winbond CH-5, Mosel Vitelic 5ns",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ultra X PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-5-1T,,Samsung (older modules) or Winbond,GeIL,"Samsung TCCD (older modules), Winbond UTT",N/A,,Brainpower PCB (with Winbond),,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Golden Dragon PC3500,DIMM,Unbuffered,non-ECC,,,,,PC3500,2.5-3-3-6-1T,,Samsung,,WLCSP chip package w/ Samsung chips,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
Ultra Platinum PC3500,DIMM,Unbuffered,non-ECC,,,,,PC3500,2.5-3-3-6-1T,,Winbond or Mosel Vitelic,,"Winbond CH-5, Mosel Vitelic 5ns, Winbond UTT (newer modules)",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
Golden Dragon PC3700,DIMM,Unbuffered,non-ECC,,,,,PC3700,2.5-4-4-7-1T,WLCSP,Samsung,,,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
Golden Dragon PC4000,DIMM,Unbuffered,non-ECC,,,,,PC4000,2.5-4-4-7-1T,WLCSP,Samsung,,,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com  and i4memory https://web.archive.org/web/20160319064334/http://ramlist.i4memory.com/ddr/
Ultra Platinum PC4000,DIMM,Unbuffered,non-ECC,,,,,PC4000,3-4-4-8-1T,,hynix,,hynix D43,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and i4memory https://web.archive.org/web/20160319064334/http://ramlist.i4memory.com/ddr/
Ultra Platinum PC4200,DIMM,Unbuffered,non-ECC,,,,,PC4200,3-4-4-8-1T,,hynix,,hynix D43,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and i4memory https://web.archive.org/web/20160319064334/http://ramlist.i4memory.com/ddr/
Ultra Platinum PC4400,DIMM,Unbuffered,non-ECC,,,,,PC4400,3-4-4-8-1T,,hynix,,hynix D5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and i4memory https://web.archive.org/web/20160319064334/http://ramlist.i4memory.com/ddr/
GeIL One PC3200 GOW1GB3200DC,DIMM,Unbuffered,non-ECC,,,,,PC3200,1.5-2-2-5-1T,,Winbond,,Handpicked Winbond UTT,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
GeIL ONE PC3200 GOS5123200DC / GOS1GB3200DC,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Samsung,,Handpicked Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
Ultra X PC4000 / PC4400,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.0-2-2-5 / 2.5-3-3-5 / 2.5-4-4-7-1T,,Samsung,,Samsung TCCD (handpicked),N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM list
