model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
F1-3200BWU2-1GBGH,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-5-1T,,Winbond,,UTT,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200DSU2-1GBLD,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-5-1T,,Samsung,,TCCD,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-32005SU2-1GBLA,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-3-6-1T,,Samsung,,TCC5,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-32005SU2-1GBLB,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-3-6-1T,,Samsung,,TCC5,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200USU2-2GBHS,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-3-3-6-1T,,Samsung,,UCCC,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200PHU2-1GBZX,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-3-6-1T,,hynix,,D5/D43,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200PHU2-2GBZX (Should be F1-3200CIU2-2GBZX),DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-2-4-1T,,Infineon,,5ns Rev.C,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200PHU2-1GBNS,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-4-4-8-1T,,hynix,,D5/D43,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200PHU2-1GBNT,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-4-4-8-1T,,hynix,,D5/D43,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
F1-3200BIU2-2GBHX,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-3-2-5-1T,,Infineon,,5ns Rev.B,N/A,,Brainpower PCB,,i4memory RAM List: https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/
PC3200 (2.0-2-2-5-1T) F1-3200DSU2-1GBFX,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.0-2-2-5-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3200 (2.0-3-3-6-1T) F1-3200DSU2-1GBLF,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.0-3-3-6-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4000 (3.0-4-4-8-1T) F1-4000PHU2-1GBLA,DIMM,Unbuffered,non-ECC,,,,,PC4000,3.0-4-4-8-1T,,hynix,,hynix D5/D43,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4000 (3.0-4-4-8-1T) F1-4000USU2-2GBHZ,DIMM,Unbuffered,non-ECC,,,,,PC4000,3.0-4-4-8-1T,,Samsung,,Samsung  UCCC,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4400 (2.5-4-4-8-1T) F1-4400DSU2-1GBLC,DIMM,Unbuffered,non-ECC,,,,,,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4400 (2.5-4-4-8-1T) F1-4400DSU2-1GBLD,DIMM,Unbuffered,non-ECC,,,,,,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4400 (2.5-3-3-7-1T) F1-4400DSU2-1GBLE,DIMM,Unbuffered,non-ECC,,,,,,2.5-3-3-7-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4400 (2.5-4-4-8-1T) F1-4400DSU2-1GBFC,DIMM,Unbuffered,non-ECC,,,,,,2.5-4-4-8-1T,,Samsung,,Samsung TCCD    Samsung TCC5,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4800 (2.5-4-4-8-1T) F1-4800DSU2-1GBFF,DIMM,Unbuffered,non-ECC,,,,,PC4800,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4800 (2.5-4-4-8-1T) F1-4800DSU2-1GBLA,DIMM,Unbuffered,non-ECC,,,,,PC4800,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4800 (2.5-4-4-8-1T) F1-4800DSU2-1GBFR,DIMM,Unbuffered,non-ECC,,,,,PC4800,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
