file,brand
"ddr_adata.csv","ADATA"
"ddr_apacer.csv","Apacer"
"ddr_atp.csv","ATP"
"ddr_brainpower.csv","Brain Power"
"ddr_buffalo.csv","Buffalo"
"ddr_centon.csv","Centon"
"ddr_century.csv","CENTURY"
"ddr_corsair.csv","Corsair"
"ddr_crucial.csv","Crucial (Micron Technology)"
"ddr_dsl.csv","Data Specialties"
"ddr_elixir.csv","elixir (Nanya Technology)"
"ddr_geil.csv","GeIL"
"ddr_gskill.csv","G.Skill"
"ddr_hynix.csv","hynix" 
"ddr_infineon.csv","Infineon Technologies"
"ddr_kingmax.csv","Kingmax"
"ddr_kingston.csv","Kingston Technology"
"ddr_legend.csv","LEGEND"
"ddr_mdt.csv","MDT"
"ddr_micron.csv","Micron Technology"
"ddr_mosel.csv","Mosel Vitelic (before ProMOS)"
"ddr_mushkin.csv","Mushkin"
"ddr_nanya.csv","Nanya Technology"
"ddr_nexs.csv","NEXS"
"ddr_ocwear.csv","OC-WEAR"
"ddr_ocz.csv","OCZ"
"ddr_patriot.csv","Patriot Memory"
"ddr_pmi.csv","Pmi"
"ddr_pqi.csv","PQI"
"ddr_promos.csv","ProMOS Technologies"
"ddr_psc.csv","PSC/Powerchip"
"ddr_samsung.csv","Samsung Electronics"
"ddr_shikatronics.csv","Shikatronics"
"ddr_spectek.csv","SpecTek (Micron)"
"ddr_supertalent.csv","Super Talent"
"ddr_swissbit.csv","Swissbit"
"ddr_takems.csv","TAKEMS"
"ddr_team.csv","Team Group"
"ddr_toshiba.csv","Toshiba"
"ddr_transcend.csv","Transcend"
"ddr_twinmos.csv","TwinMOS"
"ddr_ultra.csv","Ultra"
"ddr_vdata.csv","VDATA (ADATA)"
"ddr_winbond.csv","Winbond Electronics"
