model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
HYS64D16301GU-5-B,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx8, 8 ICs",128 Mbit,,,,,Infineon,,Infineon HYB25D256160BT-5B,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
HYS64D32300GU-5-B,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Infineon,,Infineon HYB25D256800BT-5B,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
HYS64D64320GU-5-B,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Infineon,,Infineon HYB25D256800BT-5B,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
HYS64D64020GU-7-A,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,DDR-266,,,Infineon,,Infineon HYB25D256800AT-7A,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D16301GU-6-B,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,DDR-333,,,Infineon,,Infineon HYB25D256160BT-6B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D32300GU-6-B,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,DDR-333,,,Infineon,,Infineon HYB25D256800BT-6B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D64320GU-6-B,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,DDR-333,,,Infineon,,Infineon HYB25D256800BT-6B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D16301GU-5-B,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,DDR-400,,,Infineon,,Infineon HYB25D256160BT-5,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D32300GU-5-B,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,DDR-400,,,Infineon,,Infineon HYB25D256800BT-5B,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D32300HU-5-C,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,DDR-400,,,Infineon,,Infineon HYB25D256800CE-5C,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS64D64320UH-5-C,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,DDR-400,,,Infineon,,Infineon HYB25D256800CE-5C,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
HYS72D64300HBR-6-C,DIMM,Registered,ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,DDR-333,CL2.5,,Infineon/Qimonda,Infineon,"HYB25D256400CT-6 (WVV30067, 0616; 2006, Week 16)",Texas Instruments CDCV857B + SSTV16859,,,ICs are in BGA package,Krazycrafter#5548 via Discord
HYS72D64500GR-7-B,DIMM,Registered,ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,DDR-266,CL2,,Infineon,Infineon,"HYB25D256400BT-7 (4EE04002, 0442; 2004, Week 42)","ICS, IDT, other unknown IC",,,,Krazycrafter#5548 via Discord
