model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
KHX2700/512 9905200-021.A01,DIMM,Unbuffered,non-ECC,512 MByte,2Rx8,256 Mbit,2.5v,PC2700,,TSOP-66,Winbond,Kingston,"BH-6, markings: V55610 0304 P01 D328DW-60",N/A,STMicroelectronics,,Blue heatsink,CrazyblocksTechnologies Computer Laboratories and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
KHX3500/256,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,CL2,,Winbond,,Winbond BH-5,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]+https://forums.extremeoverclocking.com/showthread.php?t=91533 IC info
KVR400X64C3A/256,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,hynix,,hynix HY5DU56822BT-D43,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
KVR400X64C3A/512,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3200,,,hynix,,hynix HY5DU56822BT-D43,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
KVR400X72C3A/256,DIMM,Unbuffered,ECC,256 MByte,"1Rx8, 9 ICs",256 Mbit,,PC3200,,,Mosel Vitelic or Samsung,,Mosel Vitelic V58C2256804SAT5 or Samsung,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF] (Mosel Vitelic)+eBay (Samsung)
KVR400X72C3A/512,DIMM,Unbuffered,ECC,512 MByte,"2Rx8, 18 ICs",256 Mbit,,PC3200,,,Mosel Vitelic or Samsung,,Mosel Vitelic V58C2256804SAT5 or Samsung,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF] (Mosel Vitelic)+eBay (Samsung)
KVR400/512R,DIMM,Unbuffered,non-ECC,512 MByte,"1Rx8, 8 ICs",512 Mbit,,PC3200,,,Elpida,,Elpida,N/A,,,,eBay listing
KVR266X64C25/256,DIMM,Unbuffered,non-ECC,256 MByte,,,,PC2100,,,Winbond,,Winbond BH-5/6 W942508BH-75,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
KVR333X64C25/256 (9905192-001),DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Winbond,,Winbond BH-6 W942508BH-6,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
KVR333X64C25/512,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Winbond,,Winbond BH-6 W942508BH-6,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
