model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC2700,DIMM,Unbuffered,non-ECC,,,,,PC2700,2-3-3,,Winbond,,Winbond CH-6,N/A,,,"Non Level X, rated 2-3-3, Promo-Build)",https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,CL2.5,,Winbond or Samsung,,"Winbond BH-5, Samsung TCB3",N/A,,,"Non Level X, non Blue, non Green Series",https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2,,Winbond,,Winbond BH-5,N/A,,,"Non Level X, rated 2-2-2, Promo-Build",https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200 Level I,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-2,,Winbond,,Winbond CH-5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200 Level II,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2,,Winbond,,Winbond BH-5 or BH-6,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200 Special,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2,,Winbond,,Winbond BH-6,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3200 Level II V2,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2,,Samsung,,Samsung TCCD,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3500 Level I,DIMM,Unbuffered,non-ECC,,,,,PC3500,2-3-3,,Winbond,,Winbond CH-5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
PC3500 Level II,DIMM,Unbuffered,non-ECC,,,,,PC3500,2-2-2,,Winbond,,Winbond BH-5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
"PC2700 (Non Level X, rated 2-3-3, Promo-Build)",DIMM,Unbuffered,non-ECC,,,,,PC2700,2-3-3,,Winbond,,Winbond  CH-6,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
"PC3200 CL2.5 (Non Level X, non Blue, non Green Series)",DIMM,Unbuffered,non-ECC,,,,,PC3200,CL2.5,,"Samsung, Winbond",,Winbond  BH-5  Samsung TCB3,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
"PC3200 (Non Level X, rated 2-2-2, Promo-Build)",DIMM,Unbuffered,non-ECC,,,,,PC3200,CL2-2-2,,Winbond,,Winbond  BH-5,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
