model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
NT1GD64S8HA0F-6K,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC2700,,,Nanya,,Nanya NT5DS64M8AF-6K,N/A,,Presumed Nan Ya PCB,Speed determined by part number (6K),http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
NT128D64SH4B1G-5T,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC3200,,,Nanya,,Nanya NT5DS16M16BT-5T,N/A,,Presumed Nan Ya PCB,Speed determined by part number (5T),http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
NT256D64S88B1G-5T,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx8, 8 ICs",128 Mbit,,PC3200,,,Nanya,,Nanya NT5DS32M8BT-5T,N/A,,Presumed Nan Ya PCB,Speed determined by part number (5T),http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
NT128D64SH4B1G-75B,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC2100,,,Nanya,,Nanya NT5DS16M16BT-75B,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT256D64S88B0G-75B,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2100,,,Nanya,,Nanya NT5DS32M8BT-75B,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT1GD64S8HA0F-75B,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC2100,,,Nanya,,Nanya NT5DS64M8AF-7B,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT128D64SH4B1G-6K,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC2700,,,Nanya,,Nanya NT5DS16M16BT-6K,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT256D64S88B1G-6K,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Nanya,,Nanya NT5DS32M8BT-6K,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT256D64S8HA1G-6K,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Nanya,,Nanya NT5DS32M8BT-6K,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT512D64S8HB1G-6K,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Nanya,,Nanya NT5DS32M8BT-6K,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT1GD64S8HA0F-6K,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC2700,,,Nanya,,Nanya NT5DS64M8AF-6K,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT128D64SH4B1G-5,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC3200,,,Nanya,,Nanya NT5DS16M16BT-5,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT128D64SH4B1G-5T,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx16, 4 ICs",256 Mbit,,PC3200,,,Nanya,,Nanya NT5DS16M16BT-5T,N/A,,Presumed Nan Ya PCB,,"https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF], organization determined by part number"
NT256D64S88B1G-5T,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Nanya,,Nanya NT5DS32M8BT-5T,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
NT512D64S8HB1G-5T,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3200,,,Nanya,,Nanya NT5DS32M8BT-5T,N/A,,Presumed Nan Ya PCB,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
