model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3500,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3500,,,,,Unknown,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
OCZ400256EL,DIMM,Unbuffered,non-ECC,256 MByte,,,,PC3200,,,,,Unknown,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
OCZ400256ELDCPE-K,DIMM,Unbuffered,non-ECC,256 MByte,,,,PC3200,,,,,Unknown,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
EL DDR PC3200 Platinum Limited Edition,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-7,,Winbond,,Winbond BH-6,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EL DDR PC3200 Platinum Edition,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-3-2-5,,"Samsung, ProMOS, Mosel Vitelic or Winbond",,"Samsung TCB3, ProMOS 5ns (relabeled), Mosel Vitelic 5ns (relabeled), Winbond CH-5",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EB DDR PC3200 Platinum Edition,DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-3-2-8,,Micron,,Micron 46V32M8 -5B C,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EL DDR PC3200 Platinum Edition rev2,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-6,,Samsung,,Samsung TCCD,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EL DDR PC3500 Platinum Limited Edition,DIMM,Unbuffered,non-ECC,,,,,PC3500,2-2-3-6,,Winbond,,Winbond BH-5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EL DDR PC3500 Platinum Edition,DIMM,Unbuffered,non-ECC,,,,,PC3500,2-3-2-5,,Winbond,,"Winbond CH-5, few BH-5",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
EB DDR PC3500 Platinum Edition,DIMM,Unbuffered,non-ECC,,,,,PC3500,2.5-3-2-8,,Micron,,Micron 46V32M8 -5B C,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com
