model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M368L6423ETM-CCC,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Samsung,Samsung,Samsung K4H560838E-TCCC,N/A,,,,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
M368L3313DTL-CB0,DIMM,Unbuffered,non-ECC,256 MByte,"2Rx8, 16 ICs",128 Mbit,,PC2100,,,Samsung,Samsung,Samsung K4H280838D-TCB0,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423DTL-CB0,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2100,,,Samsung,Samsung,Samsung K4H560838D-TCB0,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L1713DTM-CB3,DIMM,Unbuffered,non-ECC,128 MByte,"1Rx8, 8 ICs",128 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H280838D-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L3223DTM-CB3,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H560838D-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L3223ETN-CB3,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2700,,,Samsung,Samsung,K4H560838E-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423DTM-CB3,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H560838D-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423ETN-CB3,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H560838E-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423FTN-CB3,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H560838F-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L2923BTN-CB3,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC2700,,,Samsung,Samsung,Samsung K4H510838B-TCB3,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L3223DTM-CC4,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Samsung,Samsung,Samsung K4H560838D-TCC4,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L3223ETM-CCC,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Samsung,Samsung,Samsung K4H560838E-TCCC,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423DTM-CC4,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3200,,,Samsung,Samsung,Samsung K4H560838D-TCC4,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
M368L6423ETM-CCC,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC3200,,,Samsung,Samsung,Samsung K4H560838E-TCCC,N/A,,,,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
PC2100,DIMM,Unbuffered,non-ECC,,,,,PC2100,,,Samsung,,Samsung TCB0,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC2700,DIMM,Unbuffered,non-ECC,,,,,PC2700,,,Samsung,,Samsung TCB3 (very likely),N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3200 1GB,DIMM,Unbuffered,non-ECC,1GByte,,,,PC3200,,,Samsung,,Samsung  UCCC,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Samsung,Samsung,"Samsung TCC4, TCCC",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3700,DIMM,Unbuffered,non-ECC,,,,,PC3700,,,Samsung,Samsung,Samsung TCC5,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC4000,DIMM,Unbuffered,non-ECC,,,,,PC4000,CL3,,Samsung,Samsung,Samsung TCCD,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
