model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
TS32MLD64V4F3,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Mosel Vitelic,,Mosel Vitelic V58C2256804SAT5,N/A,,,Unknown if Asus's module had the M letter next to the barcode,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
TS32MLD64V4F3,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,,,,Samsung,,Samsung K4H560838D-TCC4,N/A,,,Unknown if Asus's module had the S letter next to the barcode,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
TS64MLD64V4F3,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Mosel Vitelic,,Mosel Vitelic V58C2256804SAT5,N/A,,,Unknown if Asus's module had the M letter next to the barcode,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
TS64MLD64V4F3,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,,,,Samsung,,Samsung K4H560838D-TCC4,N/A,,,Unknown if Asus's module had the S letter next to the barcode,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
TS128MLD64V3J,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,,,,Samsung,,Samsung K4H510838B-TCB3,N/A,,,Unknown if Asus's module had the S letter next to the barcode,http://dlcdnet.asus.com/pub/ASUS/mb/sock478/p4p800-se/P4P800_SE_QVL.pdf Asus P4P800-SE QVL [PDF]
DDR400 SN: 529308-0889,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC3200,CL3,,Powerchip/PSC,,Powerchip/PSC,N/A,,,Relabeled but with letter P,Seen on eBay
DDR400 SN: 149431-2860,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC3200,CL3-3-3,,Powerchip/PSC,,Powerchip/PSC A3312D3?E1?,N/A,,,No P but chips are not relabeled,Seen on eBay
DDR400 SN: 172213-1271,DIMM,Unbuffered,non-ECC,1 GByte,"2Rx8, 16 ICs",512 Mbit,,PC3200,CL3-3-3,,Samsung,,Samsung K4H510838D-UCCC,N/A,,,Not relabeled and has S next to barcode,Seen on eBay
256MB 200P DDR=BQ,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC2100 (DDR266),,,Samsung,,Samsung K4H560838C-TCB0,N/A,,,Small white label with no Transcend logo. PCB has Transcend logo silkscreened.,Seen on eBay
TS64MLD64V3F5,DIMM,Unbuffered,non-ECC,512 MByte,"2Rx8, 16 ICs",256 Mbit,,PC2700,,,Mosel Vitelic,,Mosel Vitelic V58C2256804SAT5B,N/A,,,Letter next to barcode unknown,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
TS32MLD64V4F3,DIMM,Unbuffered,non-ECC,256 MByte,"1Rx8, 8 ICs",256 Mbit,,PC3200,,,Mosel Vitelic,,Mosel Vitelic V58C2256804SAT5B,N/A,,,Letter next to barcode unknown,https://asset.msi.com/file/test_report/TR10_149.pdf MSI QVL [PDF]
S next to barcode,DIMM,Unbuffered,non-ECC,,,,,,,,Samsung,,Samsung,,,,,CrazyblocksTechnologies. Also seen on eBay.
N next to barcode,DIMM,Unbuffered,non-ECC,,,,,,,,Micron,,Micron,,,,,Seen on eBay.
H next to barcode,DIMM,Unbuffered,non-ECC,,,,,,,,hynix,,hynix,,,,,CrazyblocksTechnologies. Also seen on eBay.
M next to barcode,DIMM,Unbuffered,non-ECC,,,,,,,,Mosel Vitelic,,Mosel Vitelic/ProMOS,,,,,Seen on eBay.
P next to barcode,DIMM,Unbuffered,non-ECC,,,,,,,,Powerchip/PSC,,Powerchip/PSC,,,,"Some seen relabled, some with modern PSC logo",Seen on eBay.
