model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533 Select,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-10,,Micron,,Micron D9CHM (BP-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 Select D2U533B-1GMBJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-10,,Micron,,Micron D9DCN (CB-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 Select D2U533B-S512MBJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-10,,Micron,,Micron D9DCN (CB-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 Select D2U533B-S512NAJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-10,,Nanya,,Nanya AE-37B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 ECC D2U533B-E1GMBJ,DIMM,Unbuffered,ECC,,,,,DDR2-533,4.0-4-4-10,,Micron,,Micron D9DCN (CB-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 ECC D2U533B-ES512MBJ,DIMM,Unbuffered,ECC,,,,,DDR2-533,4.0-4-4-10,,Micron,,Micron D9DCN (CB-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-1GEAJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Elpida,,Elpida AG-6E-E,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-S512EGJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Elpida,,Elpida AG-6E-E,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-S512MBJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Micron,,Micron D9DCL (CB-3),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-S512NAJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Nanya,,Nanya AE-3C,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-1GMBJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Micron,,Micron D9DCL (CB-3),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Select D2U667C-1GNAJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-11,,Nanya,,Nanya AE-3C,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Select D2U800CZ-1GMDJ,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-X-X-X,,Micron,,Micron D9GMH (B6-3),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Firestix FSX800D2B-K2G,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,4.0-4-4-X,,Micron,,Micron D9GKX (B6-25E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Firestix FSX800D2C-K2G,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-5-5-15,,"Micron, Elpida",,"Micron D9GMH (B6-3), Elpida AG-6E-E (some)",N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1000 Firestix FSX1000D2C-K2G,DIMM,Unbuffered,non-ECC,,,,,DDR2-1000,5.0-5-5-15,,Micron,,Micron D9GKX (B6-25E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1066 Firestix FSX1066D2C-K1G,DIMM,Unbuffered,non-ECC,,,,,DDR2-1066,5.0-5-5-15,,Micron,,Micron D9GKX (B6-25E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
