model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533C3,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,3.0-3-3-8,,Elpida,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533C3PRO,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,3.0-3-3-8,,Elpida,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 1.1,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Samsung,,Samsung B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 2.4 & 2.5,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron D9Dxx (BT-x),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 2.6 & 2.7,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 2.8 & 2.9,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron D9Gxx (B6-x),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 3.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Infineon,,Infineon A/B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 4.2,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Elpida,,Elpida E,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 4.3 & 4.4 & 4.5,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Nanya,,Nanya A/B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 5.1,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Elpida,,Elpida A,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 5.2,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 6.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Elpida,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4 Rev 7.1,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,ProMOS,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 1.1,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Samsung,,Samsung B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 2.3,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron D9Dxx (BT-x),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 2.4 & 2.5 & 2.6,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron D9Gxx (B6-x),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 2.7,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Micron,,Micron B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 3.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Infineon,,Infineon A/C,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 4.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Nanya,,Nanya A/B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 5.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,ProMOS,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PRO Rev 6.x,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Elpida,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PT Rev 3.3,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Infineon,,Infineon B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PT Rev 5.2,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667C4PT Rev 7.1,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,4.0-4-4-12,,ProMOS,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
