model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533 ValueRAM KVR533D2N4 9905260-001.A00,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-533,4.0-X-X-X,,Elpida,,Elpida AB-5C-E,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 ValueRAM KVR533D2N4 9905260-001.C00LF,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-533,4.0-X-X-X,,Micron,,Micron D9DCN (CB-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 ValueRAM KVR533D2N4 9905273-003.B02LF,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-533,4.0-X-X-X,,Micron,,Micron D9DCD (CC-37E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 ValueRAM KVR533D2N4,DIMM,Unbuffered,non-ECC,,,,1.8V,DDR2-533,4.0-X-X-X,,Micron,,Micron D9GCT (B6-37E) (very rare!),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 HyperX KHX6400D2K2/1G,DIMM,Unbuffered,non-ECC,,,,1.95V,DDR2-800,5.0-5-5-15,,Infineon,,Infineon AF-3S,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 HyperX Ultra Low Latency KHX6400D2ULK2/2G 9905316-117.A00LF,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,3.0-3-3-10,,Elpida,,Elpida BG-1J-E,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-900 HyperX KHX7200D2K2/1G,DIMM,Unbuffered,non-ECC,,,,2.0V,DDR2-900,5.0-5-5-15,,Infineon,,Infineon AF-3S,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1066 HyperX KHX8500D2K2/1G KHX8500D2K2/2G,DIMM,Unbuffered,non-ECC,,,,2.2V,DDR2-1066,5.0-5-5-15 @ 2.2V,,Micron,,Micron D9GKX (B6-25E) (some),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1066 HyperX SLI-Ready KHX8500D2K2/1GN KHX8500D2K2/2GN,DIMM,Unbuffered,non-ECC,,,,2.2V,DDR2-1066,5.0-5-5-15 @ 2.2V,,"Micron, ProMOS",,Micron D9GKX (B6-25E) (some),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-1200 HyperX KHX9600D2K2/2G 9905316-069.A00LF,DIMM,Unbuffered,non-ECC,,,,,DDR2-1200,5.0-5-5-15,,Micron,,Micron D9GKX (B6-25E),N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
