model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1600 Standard AVD3U16000904G-3S (3x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,9-9-9-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Blitz AVD3U20000902G-2G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,,DDR3-2000,9-9-9-24,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Core Series AVD3U24001004G-2CI (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2400,10-12-12-31,,hynix/SK hynix,,hynix/SK hynix H5TC4G83MFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Core Series AVD3U24001004G-4CI (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2400,10-12-12-31,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Core Series AVD3U24001104G-2CIO (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2400,11-13-13-31,,hynix/SK hynix,,hynix/SK hynix H5TQ4G83MFRhynix/SK hynix H5RQ2G83CFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Core Series MPower AVD3U24001004G-2CM (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2400,10-12-12-31,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2666 Core Series AVD3U26661104G-2CI (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2666,11-13-13-35,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2666 Core Series MPower AVD3U26661104G-4CM (4x4GB) AVD3U26661104G-2CM (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2666,11-13-13-35,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2800 Core Series AVD3U28001204G-2CI (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2800,12-14-14-35,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2800 Core Series AVD3U28001204G-4CI (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2800,12-14-14-35,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2800 Core Series MPower AVD3U28001204G-4CM (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2800,12-14-14-35,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-3000 Blitz 1.1 AVD3UH30001204G-2BZ1 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-3000,12-14-14-35,,hynix/SK hynix,,hynix/SK hynix H5TQ4G83MFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-3000 Blitz 1.1 AVD3UH30001204G-4BZ1 (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-3000,12-14-14-35,,hynix/SK hynix,,hynix/SK hynix H5TQ4G83MFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
