model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1333 CSXO-D3-LO-1333-1GB (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Samsung,,Samsung HCH9,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CSXO-D3-LO-1333-2GB (1x2GB),DIMM,Unbuffered,non-ECC,,,,1.5V,DDR3-1333,9-9-9-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CEC10014305 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Qimonda,Aeneon,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CEC10014306 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Qimonda,Aeneon,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-10700 Diablo U08109703 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,,"1.5 (DDR3-1333), 1.9V (DDR3-2000)",9-9-9-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 CEC10014326 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1600,7-7-7-24,,Samsung,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 CEC10014327 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,7-8-8-24,,Samsung,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 CECU08109761 (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,,DDR3-1600,,,Samsung,,Samsung HCH9,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 CEC10014345 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1800,8-8-8-28,,Micron,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 CEC10014370 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1800,8-8-8-27,,Micron,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Diablo10014307 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-2000,9-9-9-24,,Micron,,"Micron D9GTR (BY-187E), Micron D9GTS (BY-15E)",N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Diablo 10014308 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-2000,9-9-9-28,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 CSXO-D3-LO-1066-1GB-CL6 (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,,DDR3-1066,6-X-X-X,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
