model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
D3VH28081XH15AA ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1333,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VP28081XH15AB,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1333,,,ProMOS,ProMOS,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VH56081XH18AB ,DIMM,Unbuffered,non-ECC,2 GiByte,"1Rx8, 8 ICs",2 GiBit,1.5v,DDR3-1066,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS56081XH18AC,DIMM,Unbuffered,non-ECC,2 GiByte,"1Rx8, 8 ICs",2 GiBit,1.5v,DDR3-1066,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VH56081XH15AB,DIMM,Unbuffered,non-ECC,2 GiByte,"1Rx8, 8 ICs",2 GiBit,1.5v,DDR3-1333,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS56081XH15AB ,DIMM,Unbuffered,non-ECC,2 GiByte,"1Rx8, 8 ICs",2 GiBit,1.5v,DDR3-1333,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VH56082XH15AB ,DIMM,Unbuffered,non-ECC,4 GiByte,"2Rx8, 16 ICs",2 GiBit,1.5v,DDR3-1333,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS56082XH15AB ,DIMM,Unbuffered,non-ECC,4 GiByte,"2Rx8, 16 ICs",2 GiBit,1.5v,DDR3-1333,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VH12081XH18AB ,DIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.5v,DDR3-1333,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS12081XH18AB ,DIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.5v,DDR3-1333,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS12081XH12AA ,DIMM,Unbuffered,non-ECC,4 GiByte,"1Rx8, 8 ICs",4 GiBit,1.5v,DDR3-1600,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VH12082XH15AB ,DIMM,Unbuffered,non-ECC,8 GiByte,"2Rx8, 16 ICs",4 GiBit,1.5v,DDR3-1333,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3VS12082XH15AB ,DIMM,Unbuffered,non-ECC,8 GiByte,"2Rx8, 16 ICs",4 GiBit,1.5v,DDR3-1333,,,Samsung,Samsung,,N/A,,,Very-low Profile (VLP) DIMM,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3UP28081XH18AC ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1066 ,,,ProMOS,ProMOS,,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3UH28081XH18AB ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1066 ,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3US28081XH18AB ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1066 ,,,Samsung,Samsung,,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3UP28081XH15AB ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1333 ,,,ProMOS,ProMOS,,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
D3UH28081XH15AA ,DIMM,Unbuffered,non-ECC,1 GiByte,"1Rx8, 8 ICs",1 GiBit,1.5v,DDR3-1333 ,,,hynix/SK hynix,hynix/SK hynix,,N/A,,,,DSL Tech: https://www.dsltech.com.tw/products/ddr3-sram/
