model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
EBJ20UF8BCF0-DJ-F,DIMM,Unbuffered,non-ECC,2 GByte,"1Rx8, 8 ICs",2 Gbit,1.5v,DDR3-1333,CL9-9-9,,Elpida,Elpida,"J2108BCSE-DJ-F (BCSE, Die code: 1123R99J620, Location: TWN; Taiwan)",N/A,,,,"Kris (Memory IC, Pictures, Module info), CrazyblocksTechnologies Computer Laboratories (Confirmation)"
DDR3-1333 EBJ10UE8BAW0-DJ-E (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 EBJ10UE8BBF0-DJ-F (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 EBJ10UE8BDF0-DJ-F (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Elpida,,Elpida BDSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 EBJ21EE8BAFA-DJ-E (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Elpida,,Elpida BASE-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 EBJ21UE8BAW0-DJ-E (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 EBJ21UE8BBF0-DJ-F (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 EBJ10EE8BAFA-AE-E (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Elpida,,Elpida BASE-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 EBJ10UE8BBF0-AE-F (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 EBJ10UE8BDF0-AE-F (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Elpida,,Elpida BDSE-AE-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 EBJ21UE8BBF0-AE-F (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 EBJ21UE8BDF0-AE-F (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Elpida,,Elpida BDSE-AE-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
