model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
F3-12800CL9Q-16GBXL,DIMM,Unbuffered,non-ECC,4 GByte,"2Rx16, 8 ICs",4 Gbit,1.5v,DDR3-1600,CL9-9-9,,elixir (Nanya),Nanya,"elixir N2CB4G16CP-DI (Date: 1525; Week 25, 2015, Die Code: 514041W0EV 3 TW)",N/A,02C HMC 5AG,"PCB has ""G F"" on the side, PCB appears to have eight layers as observed under a microscope","elixir is a brand name of Nanya Technology. part number and text placement is similar to Nanya. Label section with ""G.Skill"" has ""429 2015 Oct"", CTCL's kit serial number is 154029B03687071 and was sold as a kit of four modules.",CrazyblocksTechnologies Computer Laboratories
DDR3-1600 ECO Series F3-12800CL8D-4GBECO (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,8-8-8-24,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 NT Value F3-10600CL9D-4GBNT (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 ECO F3-10666CL9D-4GBECO (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.35V,DDR3-1333,9-9-9-24,,Powerchip,,Powerchip XDT749A3G-A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 ECO Series F3-10666CL7D-4GBECO (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,7-7-7-21,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 PKF3-10666CL7T-6GBPK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.6V,DDR3-1333,7-7-7-18,,Elpida,,Elpida J1108BASE-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Ripjaws F3-10666CL7D-4GBRH (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,7-7-7-21,,Elpida,,Elpida BCSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Ripjaws X F3-10666CL7D-8GBXH (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1333,7-7-7-21,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ares F3-1600C10Q-32GAO (4x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1600,10-10-10-30,,Elpida,,Elpida J408EASE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 ECO Series F3-12800CL7D-4GBECO (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,7-8-7-24,,"Powerchip, Elpida",,Powerchip XEA834A3G-AElpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HK F3-12800CL8D-2GBHK (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1600,8-8-8-21,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HK F3-12800CL8D-4GBHK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,8-8-8-21,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HZ F3-12800CL7D-2GBHZ (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1600,7-7-7-18,,"Micron, Samsung",,Samsung HCF0Micron D9JNM (HX-15E)Micron D9JNL (HX-187E)Micron D9GTS (BY-15E)Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 NQ F3-12800CL9D-4GBNQ (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,9-9-9-24,,Nanya,,Nanya NT5CB128M8CN-CG,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 NQ F3-12800CL9T-6GBNQ (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,9-9-9-27,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 NT Value F3-1600C11D-16GNT (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1600,11-11-11-28,,hynix/SK hynix,,hynix/SK hynix H5TC4G83BFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 PI F3-12800CL6D-4GBPI (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,6-8-6-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 PI F3-12800CL7D-2GBPI (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1600,7-7-7-18,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 PI F3-12800CL7D-4GBPI (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-1600,7-7-7-18,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 PI F3-12800CL7T-6GBPI (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1600,7-8-7-24,,Elpida,,Elpida BDBG,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 PI F3-12800CL8T-3GBPI (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65v,DDR3-1600,8-8-8-21,,Elpida,,Elpida BASE-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ripjaws F3-12800CL7D-2GBRH (2x1GB) F3-12800CL7D-4GBRH (2x2GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65v,DDR3-1600,7-7-7-24,,Elpida,,Elpida BBSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ripjaws F3-12800CL7D-4GBRM (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.6V,DDR3-1600,7-8-7-24,,"Powerchip, Elpida",,"Powerchip THB646A3G-A, Powerchip THV373A3G-A, Powerchip XDX053A3G-A, Elpida BASE AE-E",N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ripjaws F3-12800CL7D-8GBRH (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.6V,DDR3-1600,7-8-7-24,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83BFR-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
