model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1333 MT16JTF25664AY-1G4D1 (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,Micron,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
"DDR3-1333 MT16JTF25664AZ-1G4F1 (2GB), Crucial CT25664BA1339.16FF (2GB)",DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,Micron,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 MT8JTF25664AZ-1G4D1 (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,Micron,Micron D9LGK (HX-15E 2Gbit),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 MT9JSF12872AZ-1G4F1 (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,Micron,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 MT9JSF12872PY-1G4D1BA (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,Micron,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 MT8JTF12864AY-1G1D1 (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Micron,Micron,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 MT9JSF12872AY-1G1D1 (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Micron,Micron,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1066 ECC MT9JSF12872AZ-1G1F1 (1GB),DIMM,Unbuffered,ECC,1 GiB,,,1.5V,DDR3-1066,7-X-X-X,,Micron,Micron,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
MT4JTF25664AZ-1G6E1,DIMM,Unbuffered,non-ECC,2 GiB,1Rx16,4 Gibit,1.5V,DDR3-1600,CL11,,Micron,Micron,D9PXV,N/A,,,,Woodstrist#0652 via Discord
MT36JSZF1G72PZ-1G4D1DD,DIMM,Registered,ECC,8 GiB,2Rx4,2 Gibit,1.5v,DDR3-1333,CL9,,Micron,Micron,D9LGD,IDT,,,,CTCL
