model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1600 G Series Sector 5 PGV38G1600ELK (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,9-9-9-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Signature LinePSD38G1600K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1600,9-9-9-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Viper Series Low LatencyPVT36G1600LLK (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Viper Xtreme Division 2 Low LatencyPXD38G1600LLK (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,8-9-8-24,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83BZA-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Viper Xtreme Low LatencyPVT33G1600LLK (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1875 G2 Enhanced LatencyPGQ316G1866ELQK (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1875,9-10-9-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1875 Intel Extreme Masters PVI332G186C0QK (4x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1875,10-11-10-30,,hynix/SK hynix,,hynix/SK hynix H5TQ4G83MFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 G Series Sector 5 PGV34G2000ELK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2000,9-9-9-27,,"Powerchip, Elpida",,Elpida EDJ2108BASE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Viper II Series PV236G2000LLKB (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2000,8-8-8-24,,Elpida,,Elpida MNH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Viper Xtreme Division 2 SeriesPXD38G2133C11K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-2133,11-11-11-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Viper 3 Black MambaPV38G213C1K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-2133,11-11-11-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Viper 3 Series PV38G213C1K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-2133,11-11-11-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Viper Extreme Enhanced Latency PXD38G2133C11K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-2133,11-11-11-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83BFR-H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2250 Viper II Series Sector 5PVV34G2250LLK (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.7,DDR3-2250,9-9-9-27,,Elpida,,Elpida MGH-E Hyper,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Viper 3 Black MambaPV316G240C0K (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.65v,DDR3-2400,10-12-12-30,,hynix/SK hynix,,hynix/SK hynix H5TQ4G83MFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Viper II Series Sector 5PVV34G2400C9K (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2400,9-11-9-27,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2400 Viper Xtreme Division 2 PXD38G2400C11K (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2400,11-11-11-30,,Samsung,,Samsung K4B2G0846D HCK0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
