model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1333 Xtreem TXD32048M1333HC8DC (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,,DDR3-1333,8-8-8-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Elite TED38192M1333HC9 (1x8GB),DIMM,Unbuffered,non-ECC,,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Xtreem TXD32048M1600HC7DC (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.85V,DDR3-1600,7-7-7-21,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Xtreem DarkTXD31024M1600HC8-D (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.65v,DDR3-1600,8-8-8-24,,"hynix/SK hynix, Micron",,hynix/SK hynix H5TQ1G83AFPMicron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 Xtreem TXD32048M1800HC8 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1800,8-8-8-24,,Samsung,,Samsung K4B1G0846D HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1866 Xtreem TXD31024M1866HC8 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1866,8-8-8-24,,Micron,,Micron D9JNL (HX-187E)Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Xtreem TXD31024M2000C9 (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-2000,9-9-9-24,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Xtreem TXD32048M2000HC9 (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.9V,DDR3-2000,9-9-9-24,,Powerchip,,Powerchip XDT646A3G-A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Xtreem TXD36144M2000HC9TC (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2000,9-9-9-24,,Powerchip,,Powerchip,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Xtreem LVTXD34096M2000HC9KDC-L (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2000,9-11-9-27,,hynix/SK hynix,,hynix/SK hynix H5TC2G83BZR-H9A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
