model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
AD4U2133W4G15-B,DIMM,Unbuffered,non-ECC,4 GByte,"1Rx8, 8 ICs",4 Gbit,1.2v,DDR4-2133 (PC4-17000),CL15-15-15-36,,SK hynix,,H5AN4G8NMFR-TFC,N/A,,,,i4memory RAM List https://web.archive.org/web/20160515151107/http://ramlist.i4memory.com/ddr4/
AX4U480038G19K-DT50,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4800,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U480038G19K-DGM50X,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4800,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U460038G19K-SB30,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U460038G19K-B,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U460038G19K-DR30,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U460038G19K-DB30,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-46,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-BR80,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-SR80,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-DR80,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-BR41,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-SR41,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U440038G19-DR41,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4400,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
AX4U426638G19-BR80,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4266,19-19-19-39,,Samsung,Samsung,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
