model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
GLS416GB3600C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GAEXSY416GB3600C18ADC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,18-20-20-40,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB3000C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB432GB3000C16AQC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB3000C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB3000C16AQC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB3000C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS464GB3000C16AQC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-3000,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB44GB2666C19SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2666C19DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GAFY416GB2666C19QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS44GB2666C19SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS48GB2666C19DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2666C19QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2666C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-2666,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB432GB2666C16AQC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-2666,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2666C19SC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2666C19DC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GAFY432GB2666C19QC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2666C16ADC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-2666,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB2666C16AQC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.35v,DDR4-2666,16-18-18-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS48GB2666C19SC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2666C19DC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB2666C19QC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2666,19-19-19-43,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB44GB2400C16SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2400C16DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2400C16QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB44GB2400C17SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2400C17DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2400C17QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS44GB2400C16SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GALS48GB2400C16DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2400C16QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS44GB2400C17SC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS48GB2400C17DC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2400C17QC,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2400C16SC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2400C16DC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB432GB2400C16QC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB48GB2400C17SC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB416GB2400C17DC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GSB432GB2400C17QC,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS48GB2400C16SC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2400C16DC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB2400C16QC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS48GB2400C17SC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2400C17DC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB2400C17QC,DIMM,Unbuffered,non-ECC,8 GiByte,2Rx8,4 Gibit,1.2v,DDR4-2400,17-17-17-39,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS416GB2400C16SC,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS432GB2400C16DC,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
GLS464GB2400C16QC,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
