file,brand
"ddr4_adata.csv","ADATA"
"ddr4_apacer.csv","Apacer"
"ddr4_astra_gear.csv","ASTRA GEAR"
"ddr4_avant.csv","Avant"
"ddr4_avexir.csv","Avexir"
"ddr4_chunwell.csv","ChunWell"
"ddr4_corsair.csv","Corsair"
"ddr4_crucial.csv","Crucial (Micron Technology)"
"ddr4_dsl.csv","Data Specialties"
"ddr4_essencore.csv","ESSENCORE (SK hynix/SK group)"
"ddr4_gskill.csv","G.Skill"
"ddr4_galax.csv","GALAX"
"ddr4_galaxy.csv","Galaxy"
"ddr4_geil.csv","GeIL"
"ddr4_gigabyte.csv","Gigabyte"
"ddr4_gloway.csv","Gloway"
"ddr4_goodram.csv","Goodram"
"ddr4_micron.csv","Micron Technology"
"ddr4_neo_forza.csv","Neo Forza"
"ddr4_netac.csv","Netac Technology"
"ddr4_orca.csv","ORCA"
"ddr4_kingmax.csv","Kingmax"
"ddr4_kingston.csv","Kingston Technology"
"ddr4_patriot.csv","Patriot Memory"
"ddr4_ramonster.csv","Ramonster"
"ddr4_samsung.csv","Samsung Electronics" 
"ddr4_skhynix.csv","SK hynix"
"ddr4_team.csv","Team Group"
"ddr4_thermaltake.csv","Thermaltake"
"ddr4_vcolor.csv","V-Color"
"ddr4_visenta.csv","VISENTA"
"ddr4_zadak.csv","ZADAK"
