model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
NMUD480E82-4000FB21,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.4v,DDR4-4000,21-21-21-64,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMUD480E82-3600DB21,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,18-19-19-39,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMGD480E82-3600DF20,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,19-19-19-39,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMGD480E82-3600DE20,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3600,19-19-19-39,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMUD480E82-3200DB21,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3200,16-18-18-36,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMGD480E82-3200DF20,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3200,16-18-18-36,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMGD480E82-3200DE20,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-3200,16-18-18-36,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMUD480E82-2666EA10,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2666,19-19-19-43,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMUD416E82-2666EA10,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.2v,DDR4-2666,19-19-19-43,,SK hynix,SK hynix,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
NMGD432F82-4000FF20,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.4v,DDR4-4000,19-23-23-46-70,,SK hynix,SK hynix,H5ANAG8NCJR-XNC (CJR),N/A,,,,https://www.techpowerup.com/review/neo-forza-mars-ddr4-4000-2x-32-gb/3.html using Thaiphoon Burner 16.5.0.2 Build 0115
NMUD432F82-3200DG20 ,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.35v,DDR4-3200,16-18-18-36,,SK hynix,,,N/A,,,"Die revision unknown, TechPowerUp suspects either A-die or M-die",https://www.techpowerup.com/review/neo-forza-faye-ddr4-3200-2x-32gb/3.html using Thaiphoon Burner 16.5.0.2 Build 0115
NMUD480E82-5000IG20 ,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.6v,DDR4-5000,19-26-26-46,,SK hynix,,,N/A,,,"Die revision unknown, TechPowerUp suspects DJR",https://www.techpowerup.com/review/neo-forza-faye-ddr4-5000-2x-8gb/3.html using Thaiphoon Burner 16.5.0.2 Build 0115
NMUD416E82-4600CG20 ,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-46,,SK hynix,"SK hynix, or none",H5AN8G8NDJR,N/A,,,"Die revision unknown by Thaiphoon, confirmed by Neo Forza. Bjorn3D.com's kit had original SK hynix markings.","https://www.techpowerup.com/review/neo-forza-faye-ddr4-4600-2x-16gb/3.html, https://bjorn3d.com/2022/03/neo-forza-faye-ddr4-4600mhz-32gb-2x16gb/"
