model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M378A2K43BB1-CPB,DIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,DDR4-2133,,,Samsung,Samsung,K4A8GD85WB-BCPB,N/A,,Samsung (presumed),,PauloOoO#3731 via Discord
M391A1K43DB2-CWE,DIMM,N/A,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A2K43DB1-CWE,DIMM,N/A,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A4G43AB1-CWE,DIMM,N/A,ECC,32 GiByte,"2Rx8, 18 ICs, Single-die package",16 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M474A1K43DB1-CWE,SODIMM,N/A,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M474A2K43DB1-CWE,SODIMM,N/A,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M474A4G43AB1-CWE,SODIMM,N/A,ECC,32 GiByte,"2Rx8, 18 ICs, Single-die package",16 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A1G44AB0-CWE,DIMM,N/A,non-ECC,8 GiByte,"1Rx16, 4 ICs, Single-die package",16 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A2G43AB3-CWE,DIMM,N/A,non-ECC,16 GiByte,"1Rx8, 8 ICs, Single-die package",16 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A4G43AB1-CVF,DIMM,N/A,non-ECC,32 GiByte,"2Rx8, 16 ICs, Single-die package",16 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A4G43AB1-CWE,DIMM,N/A,non-ECC,32 GiByte,"2Rx8, 16 ICs, Single-die package",16 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung A-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A5244CB0-CVF,DIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A1K43DB2-CVF,DIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A2K43DB1-CVF,DIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A1K43DB1-CWE,SODIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A1K43EB1-CTD,SODIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A2K43DB1-CWE,SODIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,3200 MT/s,,,Samsung,Samsung,Samsung D-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M471A2K43EB1-CTD,SODIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung E-die (from part number),N/A,,Samsung (presumed),"Sample, last checked: September 14, 2022","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
