model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
R009D408GX2-4600C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-45,,SK hynix,SK hynix,H5AN8G8NDJR-XNC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R022D408GX2-4600C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-45,,SK hynix,SK hynix,H5AN8G8NDJR-XNC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R016D408GX2-4600C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.5v,DDR4-4600,19-26-26-45,,SK hynix,SK hynix,H5AN8G8NDJR-XNC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R009D408GX2-4400C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4400,19-25-25-45,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R022D408GX2-4400C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4400,19-25-25-45,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R016D408GX2-4400C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.45v,DDR4-4400,19-25-25-45,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R009D408GX2-4000C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4000,19-23-23-42,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R022D408GX2-4000C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4000,19-23-23-42,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R016D408GX2-4000C19A,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.35v,DDR4-4000,19-23-23-42,,SK hynix,SK hynix,H5AN8G8NDJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R009R432GX2-3600C18A,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.35v,DDR4-3600,18-20-20-39,,SK hynix,SK hynix,H5ANAG8NAJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R022R432GX2-3600C18A,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.35v,DDR4-3600,18-20-20-39,,SK hynix,SK hynix,H5ANAG8NAJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
R009D416GX2-3600C18A,DIMM,Unbuffered,non-ECC,16 GiByte,2Rx8,8 Gibit,1.35v,DDR4-3600,18-20-20-39,,SK hynix,SK hynix,H5ANAG8NAJR-VKC,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
