"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"Dominator Platinum RGB CMT32GX5M2B5200C38 ver3.43.01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.1v (Base), 1.25v (XMP Primary)","DDR5-4800 (Base), DDR5-5200 (XMP Primary)","40-40-40-76 (Base), 38-38-38-84 (XMP Primary)",,"Micron","Micron","MT60B2G8HB-48B (D8BNJ)","N/A","511 8Y1 1FD","Renesas P8911-Y0Z001GR-2115MU",,,"Tom's Hardware: https://www.tomshardware.com/reviews/corsair-dominator-platinum-rgb-ddr5-5200-c38-review"
"Vengeance RGB CMH32GX5M2D6000C36W ver4.43.02","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.1v (Base), 1.35v (XMP Primary)","DDR5-4800 (Base), DDR5-6000 (XMP Primary)","40-40-40-77-112 (Base), 36-36-36-76-112 (XMP Primary)",,"Samsung","Samsung (SEC)","K4RAH086VB-BCQK (B-die)","N/A",,"APENC APW8502C",,,"TechPowerUp: https://www.techpowerup.com/review/corsair-vengeance-rgb-ddr5-6000-2x-16-gb/3.html"
"Dominator Platinum RGB CMT32GX5M2X6600C32 ver5.43.13","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.1v (Base), 1.45v (XMP Primary)","DDR5-4800 (Base), DDR5-6600 (XMP Primary)","40-40-40-77-117 (Base), 32-39-39-76-115 (XMP Primary)",,"SK hynix","SK hynix","H5CG48MEBDX014J (M-die)","N/A",,"Richtek OD=9B",,"Extra ICs for RGB: NXP 824J 03 21 221071A, Onsemi(?) W5230 3737","TechPowerUp: https://www.techpowerup.com/review/corsair-dominator-platinum-rgb-ddr5-6600-cl32-2x-16-gb/3.html"
"Vengeance CMK32GX5M2B5200C38 ver3.43.01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.25 (XMP Primary)","DDR5-5200 (XMP Primary)","38-38-38-84 (XMP Primary)",,"Micron","Micron","MT60B2G8HB-48B (D8BNJ)","N/A",,"Renesas P8911Y0-Z001GR-2131KT",,,"TechPowerUp: https://www.techpowerup.com/review/corsair-vengeance-ddr5-5200-2x-16-gb/3.html"
"Vengeance RGB CMH32GX5M2B6000Z30 ver5.43.13","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.1v (Base), 1.4v (AMD EXPO)","DDR5-4800 (Base), DDR5-6000 (AMD EXPO)","40-40-40-77-117 (Base), 30-36-36-76 (AMD EXPO)",,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A",,"Renesas P8911Y0",,,"TechPowerUp: https://www.techpowerup.com/review/corsair-vengeance-rgb-ddr5-6000-cl30-amd-2x-16-gb/3.html"
"Vengeance RGB CMH32GX5M2D6000C36 ver4.43.02","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gbit","1.35v (XMP)","DDR5-6000 (XMP)","36-36-36-76 2T (XMP)",,"Samsung","Samsung (SEC)","K4RAH086VB-BCQK (B-die)","N/A","511 8Y1 2QD","APENC APW8502C",,,"Tom's Hardware: https://www.tomshardware.com/reviews/corsair-vengeance-rgb-ddr5-6000-c36-review"
"CMT32GX5M2X7600C36ver.5.43.01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7600 (OC) DDR5-4800 (Base)","36-46-46-82",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"CMK32GX5M2X7200C34Ver.5.43.01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","34-44-44-96",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"CMT32GX5M2X7200C34Ver5.43.13","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","34-44-44-96",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"CMH32GX5M2X7200C34ver.5.43.01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","34-44-44-96",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
