"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"Trident Z5 RGB F5-6400J3239G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.4v (XMP)","DDR5-6400","32-37-37-97-2T",,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A","511 8Y1 1FU","Richtek, markings OD=8M 24A",,,"Tom's Hardware: https://www.tomshardware.com/reviews/gskill-trident-z5-rgb-ddr5-6400-c32-review"
"Trident Z5 RGB F5-6000U3636E16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.1v (Base), 1.3v (XMP 3.0 Primary)","DDR5-4800 (Base), DDR5-6000 (XMP 3.0 Primary)","40-40-40-76-2T (Base), 36-36-36-76-2T (XMP 3.0 Primary)",,"Samsung","Samsung","K4RAH086VB-BCQK (B-die)","N/A","511 8Y1 1FP","APENC APW8502C-AX93Q",,,"Tom's Hardware: https://www.tomshardware.com/reviews/gskill-trident-z5-rgb-ddr5-6000-c36-review-ddr5-performance-king"
"Trident Z5 F5-6400J3249G16X2-TZ5K","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.4v (XMP)","DDR5-6400 (XMP)","32-39-39-102-141 (XMP)",,"SK hynix","SK hynix","H5CG48MEBDX014J (M-die)","N/A","Montage Technology STA4 129 117","APENC APW8502C",,,"TechPowerUp: https://www.techpowerup.com/review/g-skill-trident-z5-ddr5-6400-cl32-2x-16-gb/3.html"
"Trident Z5 RGB F5-6800J3445G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.4v (XMP)","DDR5-6800 (XMP)","34-42-42-108-127",,"SK hynix","SK hynix","H5CG48AGBD-X018 (A-die)","N/A",,"Richtek, markings 0D=9DK6W",,,"TechPowerUp: https://www.techpowerup.com/review/g-skill-trident-z5-ddr5-6800-cl34-2x-16-gb/3.html"
"Flare X5 (AMD) F5-6000J3238F16GX2-FX5 ","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.35v (AMD EXPO)","DDR5-6000 (AMD EXPO)","32-38-38-96-130",,"SK hynix","G.Skill","M-die","N/A",,"Richtek, markings 0D=98J1U",,,"TechPowerUp: https://www.techpowerup.com/review/g-skill-flare-x5-ddr5-6000-cl32-amd-2x-16-gb/3.html"
"Trident Z5 RGB F5-7200J3445G16GX2-TZ5RK 0T56KXS820A","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.4v (XMP)","DDR5-7200 (XMP)","34-45-45-115 (XMP)",,"SK hynix",,"A-die","N/A",,,,,"PC Gamer: https://www.pcgamer.com/gskill-trident-z5-rgb-ddr5-7200-cl34/"
"F5-7800J3646H16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7800 (OC) DDR5-4800 (Base)","36-46-46-125",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-7600J3646G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7600 (OC) DDR5-4800 (Base)","36-46-46-121",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-7200J3445G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7200 (OC) DDR5-4800 (Base)","34-45-45-115",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6800J3245G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","32-45-45-108",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6800J3445G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","34-45-45-108",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6800J3445G32GX2-TZ5RK","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","34-45-45-108",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6600J3440G16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6600 (OC) DDR5-4800 (Base)","34-40-40-105",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6600J3440G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6600 (OC) DDR5-4800 (Base)","34-40-40-105",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6400J3239G16GX2-TZ5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","32-39-39-102",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6400J3239G16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","32-39-39-102",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6400J3239G16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","32-39-39-102",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6400J3239G16GX2-TZ5S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","32-39-39-102",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6400J3239G32GX2-TZ5RK","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","32-39-39-102",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3636F16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3636F16GX2-TZ5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3636F16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3636F16GX2-TZ5S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J4040F16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J4040F16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J4040F16GX2-TZ5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J4040F16GX2-TZ5S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-TZ5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-TZ5S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-RS5W","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-RS5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-TZ5RK","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-TZ5RS","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-TZ5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-TZ5S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-RS5W","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040F16GX2-RS5K","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3238F16GX2-TZ5NR","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","32-38-38-96",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3636F16GX2-TZ5NR","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040G32GX2-TZ5RS","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040G32GX2-TZ5RK","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040G32GX2-TZ5K","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"F5-6000J3040G32GX2-TZ5S","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.4v","DDR5-6000 (OC) DDR5-4800 (Base)","30-40-40-96",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
