"file","brand"
"ddr5_adata.csv","ADATA"
"ddr5_apacer.csv","Apacer"
"ddr5_corsair.csv","Corsair"
"ddr5_crucial.csv","Crucial (Micron Technology)"
"ddr5_geil.csv","GEIL"
"ddr5_gigabyte.csv","Gigabyte"
"ddr5_gskill.csv","G.Skill"
"ddr5_kingbank.csv","KingBank"
"ddr5_kingmax.csv","KINGMAX"
"ddr5_kingston.csv","Kingston Technology"
"ddr5_kimtigo.csv","Kimtigo"
"ddr5_klevv.csv","Klevv/Essencore (SK hynix)"
"ddr5_lexar.csv","Lexar"
"ddr5_micron.csv","Micron Technology"
"ddr5_neoforza.csv","Neo Forza"
"ddr5_netac.csv","Netac"
"ddr5_ocpc.csv","OCPC"
"ddr5_oloy.csv","OLOY"
"ddr5_patriot.csv","Patriot Memory"
"ddr5_pny.csv","PNY"
"ddr5_sabrent.csv","Sabrent"
"ddr5_samsung.csv","Samsung Electronics"
"ddr5_siliconpower.csv","Silicon Power"
"ddr5_skhynix.csv","SK hynix"
"ddr5_team.csv","Team Group"
"ddr5_thermaltake.csv","Thermaltake"
"ddr5_transcend.csv","Transcend"
"ddr5_vcolor.csv","V-Color"
