"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"Kingston Fury Beast KF552C40BBK2-32","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.1v (Base), 1.25v (XMP Primary), 1.1v (XMP Secondary)","DDR5-4800 (Base), DDR5-5200 (XMP Primary), DDR5-4800 (XMP Secondary)","40-39-39-76 (Base), 40-40-40-80 (XMP Primary), 38-38-38-70 (XMP Secondary)",,"Micron","Micron","MT60B2G8HB-48B (D8BNJ)","N/A","511 8Y1 ???","APENC APW8502C-AX704",,,"Tom's Hardware: https://www.tomshardware.com/reviews/kingston-fury-beast-ddr5-5200-c40-review"
"KVR48U40BS8-16","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit",,"DDR5-4800",,,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A",,"Renesas B0","Raw card: A0","Intel's unit date code: 2127","Tom's Hardware: https://www.tomshardware.com/news/intel-ddr5-4800-ram-alder-lake-cpus"
"KVR48U40BD8-32","DIMM","Unbuffered","non-ECC","32 GByte","2Rx8","16 Gbit",,"DDR5-4800",,,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A",,"Renesas B0","Raw card: A0","Intel's unit date code: 2127","Tom's Hardware: https://www.tomshardware.com/news/intel-ddr5-4800-ram-alder-lake-cpus"
"KF572C38RSK2-32","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","38-44-44-105",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF572C38RS-16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","38-44-44-105",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF572C38RSAK2-32","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","38-44-44-105",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF572C38RSA-16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7200 (OC) DDR5-4800 (Base)","38-44-44-105",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF568C36RSK2-32","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","36-42-42-105",,"SK hynix","SK hynix","M-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF568C36RS-16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","36-42-42-105",,"SK hynix","SK hynix","M-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KF568C36RSAK2-32","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6800 (OC) DDR5-4800 (Base)","36-42-42-105",,"SK hynix","SK hynix","M-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
