"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"KD5AGUA80-72B360S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7200 (OC) DDR5-4800 (Base)","36-46-46-102",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-72B360Q","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7200 (OC) DDR5-4800 (Base)","36-46-46-102",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-70B360S","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7000 (OC) DDR5-4800 (Base)","36-46-46-82",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-70B360Q","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7000 (OC) DDR5-4800 (Base)","36-46-46-82",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-62E400Z","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6200 (OC) DDR5-4800 (Base)","40-42-42-78",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-62E400Y","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6200 (OC) DDR5-4800 (Base)","40-42-42-78",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-56K380Y","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","38-38-38-78",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-56G460D","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.1v","DDR5-5600 (OC) DDR5-5600 (Base)","46-46-46-90",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA80-56G4600","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.1v","DDR5-5600 (OC) DDR5-5600 (Base)","46-46-46-90",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD58GU880-48G4000","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.1v","DDR5-4800 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"KD5AGUA8M-48G4000","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.1v","DDR5-4800 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
