"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"NMGD516F81-6400FI00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-6400FI00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-6400 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMGD516F81-6000LH00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-6000LH00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-6000LI20","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-6000LH20","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD532F81-6000LH00","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMGD516F81-5600EI00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.2v","DDR5-5600 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-5600EI00","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.2v","DDR5-5600 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-5600EI20","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.2v","DDR5-5600 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD516F81-5600EH20","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.2v","DDR5-5600 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"NMUD532F81-5600KI00","DIMM","Unbuffered","non-ECC","32 GiByte","2Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","40-40-40-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
