"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"M-POWER7634AW16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7600 (OC) DDR5-4800 (Base)","34-46-46-122",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"M-POWER6832AW16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-6800 (OC) DDR5-4800 (Base)","32-42-42-109",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"MD5U1662320BRSDE","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"ND5U1662320BRSDE","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"MD5U1662320BRKDE","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"ND5U1662320BRKDE","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"M-POWER6232AW16","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.35v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"MD5U0856360BRKDE","DIMM","Unbuffered","non-ECC","8 GiByte","1Rx16","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-38-38-76",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"ND5U0856360BRKDE","DIMM","Unbuffered","non-ECC","8 GiByte","1Rx16","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-38-38-76",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"MD5U0856360BRSDE","DIMM","Unbuffered","non-ECC","8 GiByte","1Rx16","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-38-38-76",,"Samsung","Samsung",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
