"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"T-Force Delta RGB FF3D516G6000HC40ABK","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.1v (Base), 1.35v (XMP)","DDR5-4800 Base, DDR5-6000 XMP","40-40-40-76 Base, 40-40-40-80-2T XMP",,"SK hynix","Team Group","Team Group T5D20488HT-48","N/A","511 8Y1 1ED","Richtek, markings 0D=8H 35N",,"No information on rank count found in the article but ""20488"" in the IC part number could mean 2048x8 for 16Gbit.","Tom's Hardware: https://www.tomshardware.com/reviews/teamgroup-t-force-delta-rgb-ddr5-6000-c40-review"
"T-Force Delta RGB FF3D532G6400HC40BDC","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit","1.1v (Base), 1.35v (XMP)","DDR5-6400 XMP","40-40-40-84-124",,"SK hynix","Team Group","Team Group T5D20488HT-64","N/A",,"Richtek, markings 0D=8H35N",,"No information on rank count found in the article but ""20488"" in the IC part number could mean 2048x8 for 16Gbit. Though unknown by TechPowerUp, the part number has been used before by Richtek PMICs.",
"FF3D532G8000HC38DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-8000 (OC) DDR5-5600 (Base)","38-48-48-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF4D532G8000HC38DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-8000 (OC) DDR5-5600 (Base)","38-48-48-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF3D532G7800C38DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7800 (OC) DDR5-5600 (Base)","38-46-46-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF4D532G7800C38DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.45v","DDR5-7800 (OC) DDR5-5600 (Base)","38-46-46-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF3D532G7600HC36DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7600 (OC) DDR5-5600 (Base)","36-46-46-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF4D532G7600HC36DDC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7600 (OC) DDR5-5600 (Base)","36-46-46-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF3D532G7200HC34ADC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7200 (OC) DDR5-5600 (Base)","34-42-42-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"FF4D532G7200HC34ADC01","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.4v","DDR5-7200 (OC) DDR5-5600 (Base)","34-42-42-84",,"SK hynix","SK hynix","A-die","N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
