"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"RG33D516GX2-6200C32B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-80",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG34D516GX2-6200C32B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6200 (OC) DDR5-4800 (Base)","32-38-38-80",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG30D516GX2-6000C40A","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RA50D516GX2-6000C40A","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-6000 (OC) DDR5-4800 (Base)","40-40-40-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG33D516GX2-6000C36B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG34D516GX2-6000C36B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.3v","DDR5-6000 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG30D516GX2-5600C36A","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RA50D516GX2-5600C36A","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG33D516GX2-5600C36B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"RG34D516GX2-5600C36B","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.25v","DDR5-5600 (OC) DDR5-4800 (Base)","36-36-36-76",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
