timeZone,localIp,extIp,webGlVendor,webGlRenderer,cpuCores,memSize,maxTp,oscpu,plat,screenX,screenY,screenPixRatio,screenPixDepth,canvasFp,onLine,pdfViewer,cookiesEnabled,dntEnabled,langs,prod,prodSub,userAgent,vend,innerHeight,innerWidth
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,363
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,363
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,363
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,363
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
,,127.0.0.1,,,12,8,,,Linux x86_64,1024,1280,1,24,63112a3f1a66e15fe64f0ca5c78274d89e30d3912e535684717598778c557c68,true,true,undefined,,"en-US,en",Gecko,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Google Inc.,1171,773
